id,name,group,frequency,author,date,goodreads,wikipedia,images
153,Anathem,1,2,Neal Stephenson,2008,https://www.goodreads.com/book/show/2845024-anathem,https://en.wikipedia.org/wiki/Anathem,book-covers-img\anathem.jpg
154,The Hunger Games,1,3,Suzanne Collins,2008,https://www.goodreads.com/book/show/2767052-the-hunger-games,https://en.wikipedia.org/wiki/The_Hunger_Games,book-covers-img\The_Hunger_Games_cover.jpg
155,The City & The City,1,2,China Mieville,2009,https://www.goodreads.com/book/show/4703581-the-city-the-city,https://en.wikipedia.org/wiki/The_City_%26_the_City,book-covers-img\Mieville_City_2009_UK.jpg
156,The Windup Girl,1,6,Paolo Bacigalupi,2009,https://www.goodreads.com/book/show/6597651-the-windup-girl,https://en.wikipedia.org/wiki/The_Windup_Girl,book-covers-img\windup_girl.jpg
157,The Way of Kings,1,2,Brandon Sanderson,2010,https://www.goodreads.com/book/show/7235533-the-way-of-kings,https://en.wikipedia.org/wiki/The_Way_of_Kings,book-covers-img\TheWayOfKings.png
158,The Black Prism,1,2,Brent Weeks,2010,https://www.goodreads.com/book/show/7165300-the-black-prism,https://en.wikipedia.org/wiki/Brent_Weeks,book-covers-img\TheBlackPrism_cover.jpg
159,How to Live Safely in a Science Fictional Universe: A Novel,1,3,Charles Yu,2010,https://www.goodreads.com/book/show/7726420-how-to-live-safely-in-a-science-fictional-universe,https://en.wikipedia.org/wiki/How_to_Live_Safely_in_a_Science_Fictional_Universe,book-covers-img\How_to_Live_Safely_in_a_Science_Fictional_Universe.jpg
160,The Martian,1,3,Andy Weir,2011,https://www.goodreads.com/book/show/18007564-the-martian,https://en.wikipedia.org/wiki/The_Martian_(Weir_novel),book-covers-img\The_Martian_(Weir_novel).jpg
161,Zone One,1,2,Colson Whitehead,2011,https://www.goodreads.com/book/show/10365343-zone-one,https://en.wikipedia.org/wiki/Zone_One,book-covers-img\Zone_One.jpg
162,Ready Player One,1,3,Ernest Cline,2011,https://www.goodreads.com/book/show/9969571-ready-player-one,https://en.wikipedia.org/wiki/Ready_Player_One,book-covers-img\Ready_Player_One_cover.jpg
163,Among Others,1,2,Jo Walton,2011,https://www.goodreads.com/book/show/8706185-among-others,https://en.wikipedia.org/wiki/Among_Others,book-covers-img\Among_Others_(Jo_Walton_novel).jpg
164,Ancillary Justice,1,4,Ann Leckie,2013,https://www.goodreads.com/book/show/17333324-ancillary-justice,https://en.wikipedia.org/wiki/Ancillary_Justice,book-covers-img\Ann_Leckie_-_Ancillary_Justice.jpg
165,The First Fifteen Lives of Harry August,1,2,Claire North aka Catherine Webb,2014,https://www.goodreads.com/book/show/35066358-the-first-fifteen-lives-of-harry-august,https://en.wikipedia.org/wiki/The_First_Fifteen_Lives_of_Harry_August,book-covers-img\TheFirstFifteenLivesOfHarryAugust.jpg
166,We Were Liars,1,2,E Lockhart,2014,https://www.goodreads.com/book/show/16143347-we-were-liars,https://en.wikipedia.org/wiki/We_Were_Liars,book-covers-img\we_were_liears.jpg
167,Area X: The Southern Research Trilogy,1,3,Jeff VanderMeer,2014,https://www.goodreads.com/book/show/17934530-annihilation,https://en.wikipedia.org/wiki/Southern_Reach_Trilogy,book-covers-img\anhialation.jpg
168,Red Rising,1,3,Pierce Brown,2014,https://www.goodreads.com/book/show/15839976-red-rising,https://en.wikipedia.org/wiki/Red_Rising,book-covers-img\red_rising.jpg
